worn out,ugh,Wrong about something,really bad day,suicidal ideation,soda,Jarred back in wheelchair,Knackered,Aching ,saw a movie,ate breakfast,tough long run,low food,weak legs,travelling,holiday,work + times square,backache,drink,coffee,i'm ok,insomnia,trouble thinking,large pastry,out of the house,back to work,drive to balt,bad lunch,Confronted a coworker,nausea,shallow breathing,nope,On feet,sleepless,bad sleep,worried,doctor appointment,think i miiiiiiight have recovered from christmas,faitgue,in pain,spotting,overslept,Went to work,slept a lot,low pain,tired,Visited the Park,scared,Poorly ,No sleep at all,med long run,bit of a better day,orthostatic intolerance,slept all day,ice cream,drinks,Hang outs,poor sleep,no sleep,childish,dr appointment,fog,Colouring,frustrated,must have needed it,exercise,lazy,cut right index finger,Off work,Flare,wore bad shoes,Superlong nap,weak,tough run,withdrawals,packing,icky,long run,head pain,Sat in lounge all day,holidays,Busy yesterday,POTS,High temperature,Gentle,abdominal pain after sex,Daytime nap,Vitamin d,jaw pain,had a 21 hour sleep last night,Stress 2,woke afternoon,earache,hiking,period,Nauseated ,tough half marathon,ultrasound,had sex,mangos,tavel,Tough workout,walked the dog,cough,nauseated,Farm,Sewing,throat pain,stressed 2,no digestion,deep massage,Played computer games ,bored,banana,painful,happy,liquid diet,relaxing,hopefully a long sleep tonight will end it anyway,Stuck in bed,oversleeping,pooped today!,sore,Celebrex,doctors,saw a friend,self care,hot and humid,anxiety,depressed,work,shakey before bed,excitement,Busy Day,Hungry ,Ran Errands,a cold,Sleeping pills ,Knackered ,Post flare,alone time,resting,eczema,very tired,might still be on the adrenaline run from christmas,sad,Content,Hot,dizzy,dozed,home day,breakfast,couch potato,ate out,toothache,eyes hurt,afraid,bit hard to tell though,Fluoxetine,diarrhea,Christmas,hot,stress 2,sick,High temperarure,better mood too,itchy,stress 3,thirsty,slow morning,gaming,pain,Vitamin e,yeast infection,menstruating,ativan,finger pain,impulsive,cleaning,Norco,catheter,hot weather,no work,vomited,stress,inventory at work,good sleep,feels,Took it easy,massage,stayed up late,spent day in bed,stressed
,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0
,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0
,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0
,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,0.0,,,,,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,2.0,2.0,,,,0.0,,,,,2.0,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,2.0
,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0
,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,2.0,0.0,,,,0.0,2.0,2.0,0.000156612812743,0.0640709047651,0.0,,,,,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.160901366926,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,,2.0,0.0,,,0.0,,,,,2.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,2.0,,0.0,2.0,2.0,0.0,,,,,0.0,,,0.0,0.80633280633,,,,,,,,,0.0,,,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,2.0,,0.0,,,,,0.0,,,,,2.0,,0.0,,0.0,0.0,1.04128909395,0.0,,0.0,,,0.0696536011668
,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,0.00211989403418,,,0.0,,,,,,,0.00211989403418,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0
,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,,,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,2.0,,,,,,0.137564687372,0.0,0.0,2.0,2.0,,,,0.0,,,,,2.0,,,,2.0,,,0.0,,,,2.0,,,,,,0.0,,,,2.0,,2.0,,2.0,0.0,,0.0,,,,,,,,,0.0,,,2.0,,0.0,,0.0,,,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0977812592676
,,,2.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,2.0,,,,,,,,,,2.0,
,2.0,,,,,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,0.0,0.0,,,,2.0,,,,,0.0,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,,2.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,0.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0
,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0
,2.0,,,,,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,0.0,0.0,,,,2.0,,,,,0.0,,,,0.0,,,2.0,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,,2.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,0.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0
,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,0.0
,,,2.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0
,2.0,,,,0.0,0.0,2.0,2.0,0.0,1.90576174441e-06,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,2.0,0.0,0.0,,,,2.0,,,,,0.0,,,,0.0,,,0.0279721029686,,,,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,,2.0,,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,2.0,,,2.0,2.0,0.0,,,,0.0298574998549,,0.0,,,2.0,,,0.0,,,,0.0,,,,,2.0,0.0,,2.0,2.0,,0.0,,2.0,0.0,0.0,0.0,,,0.0298574998549,,,0.0,,,2.0,,,0.0,,,2.0,,,,,,0.0296394877089
,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,0.0,,,,,,,,,,0.0,
,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0
,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,0.0,,,,,,,,,,0.0,
,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0
,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0
,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0
,,,,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0
0.0,,,2.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,0.117381630387,,,,0.0,,,9.59467576698e-05,0.0,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.00800208827638,,,,,,,,0.0,,0.0,,0.0,,0.0
,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.067431901726,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,0.0,,,,,,,,,,0.0,
,,,0.877128629888,,,,,,,,,0.00424511187366,,,,,,,,,0.343404568227,,,,,,,,,,,,,0.0,,,,2.0,,,0.0,,,0.0,0.00424511187366,,,,,,,,,,,,,0.641895451773,,,,,,,,0.178121029488,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0786358390415,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,2.0,,0.0,,,,,0.0,,,,,0.0,
,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,,,,,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,0.0,2.0,2.0,,,,0.0,,,,,2.0,,,,2.0,,,0.0,,,,2.0,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,0.0,,,2.0,,,,,,0.0,,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,2.0
